AGC102992, Fall  , 00h52m06.2s, +29d12m04s, 18.370,  5.48,  15.49, no
AGC102994, Fall  , 00h54m31.6s, +29d24m02s, 18.993,  5.20,   5.48, no
AGC103417, Fall  , 00h05m54.3s, +31d20m14s, 18.403,  5.74,  20.12, no
AGC113843, Fall  , 01h10m35.2s, +25d06m01s, 18.492,  5.36,  11.66, no
AGC114116, Fall  , 01h49m52.1s, +29d26m00s, 18.574,  5.97,  21.54, no
AGC114117, Fall  , 01h50m31.4s, +28d22m59s, 18.898,  6.02,  15.72, no
AGC114574, Fall  , 01h17m03.4s, +15d55m48s, 18.712,  5.22,   7.75, no
AGC122834, Fall  , 02h03m48.8s, +29d13m13s, 19.148,  5.93,  10.58, no
AGC122835, Fall  , 02h05m35.5s, +29d13m56s, 19.256,  5.46,   5.48, no
AGC122836, Fall  , 02h52m29.7s, +26d26m30s, 18.842,  6.21,  20.86, no
AGC174540, Fall  , 07h45m59.9s, +14d58m37s, 19.182,  5.69,   7.75, complete
AGC174763, Fall  , 07h55m27.1s, +24d41m43s, 18.845,  5.82,  13.27, no
AGC174764, Fall  , 07h56m14.8s, +25d09m00s, 18.762,  5.19,   7.07, no
AGC189054, Fall  , 08h25m46.7s, +25d11m28s, 18.498,  5.62,  15.72, no
AGC198511, Fall  , 09h30m13.2s, +24d12m17s, 18.829,  5.24,   6.93, complete
AGC198606, Fall  , 09h30m05.5s, +16d39m03s, 19.562,  6.20,   9.00, complete
AGC208315, Spring, 10h27m01.1s, +08d47m08s, 19.164,  6.07,  12.25, no
AGC208524, Spring, 10h47m02.5s, +01d46m31s, 19.073,  5.20,   5.00, no
AGC215417, Spring, 11h40m08.1s, +15d06m44s, 18.536,  5.22,   9.49, complete
AGC219214, Spring, 11h09m29.8s, +05d26m01s, 18.943,  5.12,   5.29, no
AGC219274, Spring, 11h21m19.6s, +06d21m32s, 18.947,  6.30,  20.49, no
AGC219276, Spring, 11h26m24.8s, +07d39m15s, 18.735,  5.69,  12.96, no
AGC219278, Spring, 11h28m55.6s, +06d25m29s, 18.781,  5.33,   8.12, no
AGC219279, Spring, 11h29m28.6s, +06d09m23s, 18.700,  5.55,  11.49, no
AGC226067, Spring, 12h21m54.7s, +13d28m10s, 19.310,  5.34,   4.47, complete
AGC226165, Spring, 12h34m40.2s, +08d24m08s, 18.822,  5.33,   7.75, no
AGC226170, Spring, 12h42m04.6s, +09d54m05s, 18.485,  5.44,  12.96, no
